Evaluador,TipoAudifono,MarcaReferencia,Marca,Referencia
Innerfidelity,over-ear,Audio-Technica ATH-FC700,Audio-Technica,ATH-FC700
Innerfidelity,over-ear,Audio-Technica ATH-MSR7,Audio-Technica,ATH-MSR7
Innerfidelity,over-ear,Audio-Technica ATH-W1000X,Audio-Technica,ATH-W1000X
Innerfidelity,over-ear,Audio-Technica ATH-W5000 2013,Audio-Technica,ATH-W5000 2013
Innerfidelity,over-ear,Audio-Technica ATH-WS55,Audio-Technica,ATH-WS55
Innerfidelity,over-ear,Audio-Technica ATH-WS99,Audio-Technica,ATH-WS99
kr0mka,over-ear,Audio-Technica ATH-AD500X,Audio-Technica,ATH-AD500X
kr0mka,over-ear,Audio-Technica ATH-AWKT,Audio-Technica,ATH-AWKT
Kuulokenurkka,over-ear,Audio-Technica ATH-HL7BT,Audio-Technica,ATH-HL7BT
oratory1990,in-ear,Audio-Technica ATH-CKN50,Audio-Technica,ATH-CKN50
oratory1990,over-ear,Audio-Technica ATH-ADX5000,Audio-Technica,ATH-ADX5000
oratory1990,over-ear,Audio-Technica ATH-MSR7b,Audio-Technica,ATH-MSR7b
Rtings,in-ear,Audio-Technica ATH-ANC23,Audio-Technica,ATH-ANC23
Rtings,in-ear,Audio-Technica ATH-ANC33iS,Audio-Technica,ATH-ANC33iS
Rtings,over-ear,Audio-Technica ATH-ANC70,Audio-Technica,ATH-ANC70
Rtings,over-ear,Audio-Technica ATH-DSR9BT,Audio-Technica,ATH-DSR9BT
Rtings,over-ear,Audio-Technica ATH-M30x,Audio-Technica,ATH-M30x
Rtings,over-ear,Audio-Technica ATH-M50xBT,Audio-Technica,ATH-M50xBT
Rtings,over-ear,Audio-Technica ATH-M50xBT2,Audio-Technica,ATH-M50xBT2
Innerfidelity,over-ear,Beats Mixr,Beats,Mixr
Innerfidelity,over-ear,Beats Powerbeats 2 Wireless,Beats,Powerbeats 2 Wireless
Innerfidelity,over-ear,Beats Solo HD,Beats,Solo HD
Innerfidelity,over-ear,Beats Solo2 (2014),Beats,Solo2
Innerfidelity,over-ear,Beats Studio,Beats,Studio
Rtings,in-ear,Beats Beats Powerbeats 4,Beats,Beats Powerbeats 4
Rtings,in-ear,Beats Fit Pro,Beats,Fit Pro
Rtings,in-ear,Beats Flex,Beats,Flex
Rtings,in-ear,Beats Powerbeats3 Wireless,Beats,Powerbeats3 Wireless
Rtings,in-ear,Beats urBeats,Beats,urBeats
Rtings,in-ear,Beats urBeats3,Beats,urBeats3
Rtings,in-ear,Beats X,Beats,X
Rtings,over-ear,Beats EP On-Ear,Beats,EP On-Ear
Rtings,over-ear,Beats Solo3 Wireless (2018),Beats,Solo3 Wireless
Rtings,over-ear,Beats Studio Pro,Beats,Studio Pro
Rtings,over-ear,Beats Studio Wireless,Beats,Studio Wireless
Auriculares Argentina,over-ear,Beyerdynamic DT 990 Pro Black Edition,Beyerdynamic,DT 990 Pro Black Edition
Headphone.com Legacy,over-ear,Beyerdynamic DT 1350,Beyerdynamic,DT 1350
Headphone.com Legacy,over-ear,Beyerdynamic DT 231,Beyerdynamic,DT 231
Headphone.com Legacy,over-ear,Beyerdynamic T70p,Beyerdynamic,T70p
Innerfidelity,over-ear,Beyerdynamic DJX-1,Beyerdynamic,DJX-1
Innerfidelity,over-ear,Beyerdynamic DT 100 (2x 2k Ohm),Beyerdynamic,DT 100
Innerfidelity,over-ear,Beyerdynamic DT 150 (250 Ohm),Beyerdynamic,DT 150
Innerfidelity,over-ear,Beyerdynamic DT 240 Pro,Beyerdynamic,DT 240 Pro
Innerfidelity,over-ear,Beyerdynamic DT 48 S (5 Ohm),Beyerdynamic,DT 48 S
Innerfidelity,over-ear,Beyerdynamic DTX 300p,Beyerdynamic,DTX 300p
Innerfidelity,over-ear,Beyerdynamic DTX 350m,Beyerdynamic,DTX 350m
Innerfidelity,over-ear,Beyerdynamic T51i,Beyerdynamic,T51i
Kazi,in-ear,Beyerdynamic Xelento Wireless,Beyerdynamic,Xelento Wireless
oratory1990,in-ear,Beyerdynamic Blue Byrd,Beyerdynamic,Blue Byrd
oratory1990,over-ear,Beyerdynamic Amiron Home,Beyerdynamic,Amiron Home
oratory1990,over-ear,Beyerdynamic Aventho Wireless,Beyerdynamic,Aventho Wireless
oratory1990,over-ear,Beyerdynamic Custom One Pro Plus (step 3),Beyerdynamic,Custom One Pro Plus
oratory1990,over-ear,Beyerdynamic DT 240,Beyerdynamic,DT 240
oratory1990,over-ear,Beyerdynamic DT 770 (Alpha earpads),Beyerdynamic,DT 770
oratory1990,over-ear,Beyerdynamic DT 770 M,Beyerdynamic,DT 770 M
oratory1990,over-ear,Beyerdynamic DT 880 2003 Edition,Beyerdynamic,DT 880 2003 Edition
oratory1990,over-ear,Beyerdynamic DT 880 Black Edition,Beyerdynamic,DT 880 Black Edition
oratory1990,over-ear,Beyerdynamic DT 880 Edition (600 Ohm),Beyerdynamic,DT 880 Edition
oratory1990,over-ear,Beyerdynamic DT1990 (Dekoni Elite velour earpads),Beyerdynamic,DT1990
oratory1990,over-ear,Beyerdynamic DTX 350p,Beyerdynamic,DTX 350p
oratory1990,over-ear,Beyerdynamic ET1000,Beyerdynamic,ET1000
oratory1990,over-ear,Beyerdynamic Lagoon,Beyerdynamic,Lagoon
oratory1990,over-ear,Beyerdynamic T5 (3rd Gen),Beyerdynamic,T5
oratory1990,over-ear,Beyerdynamic TYGR 300,Beyerdynamic,TYGR 300
Harpo,in-ear,Bose IE2,Bose,IE2
Headphone.com Legacy,over-ear,Bose QuietComfort 3,Bose,QuietComfort 3
Innerfidelity,over-ear,Bose AE2,Bose,AE2
oratory1990,in-ear,Bose Q25 (ANC off),Bose,Q25
Rtings,earbud,Bose Sport Open Earbuds,Bose,Sport Open Earbuds
Rtings,earbud,Bose Ultra Open Earbuds,Bose,Ultra Open Earbuds
Rtings,in-ear,Bose Hearphones,Bose,Hearphones
Rtings,in-ear,Bose QuietComfort Earbuds II,Bose,QuietComfort Earbuds II
Rtings,in-ear,Bose QuietComfort Earbuds,Bose,QuietComfort Earbuds
Rtings,in-ear,Bose SoundSport In-Ear,Bose,SoundSport In-Ear
Rtings,in-ear,Bose SoundTrue Ultra In-Ear,Bose,SoundTrue Ultra In-Ear
Rtings,in-ear,Bose Sport Earbuds,Bose,Sport Earbuds
Rtings,over-ear,Bose QuietComfort 35 II Gaming Headsetâ€‹,Bose,QuietComfort 35 II Gaming Headsetâ€‹
Rtings,over-ear,Bose QuietControl 30,Bose,QuietControl 30
Rtings,over-ear,Bose SoundLink Around-Ear II,Bose,SoundLink Around-Ear II
Rtings,over-ear,Bose SoundLink On-Ear,Bose,SoundLink On-Ear
Rtings,over-ear,Bose SoundTrue Around-Ear II,Bose,SoundTrue Around-Ear II
Headphone.com Legacy,in-ear,Denon AH-C260R,Denon,AH-C260R
Headphone.com Legacy,in-ear,Denon AH-C351K,Denon,AH-C351K
Headphone.com Legacy,in-ear,Denon AH-C452K,Denon,AH-C452K
Headphone.com Legacy,in-ear,Denon AH-C551K,Denon,AH-C551K
Headphone.com Legacy,in-ear,Denon AH-C751K,Denon,AH-C751K
Headphone.com Legacy,over-ear,Denon AH-D1001K Silver,Denon,AH-D1001K Silver
Headphone.com Legacy,over-ear,Denon AH-D310R,Denon,AH-D310R
Headphone.com Legacy,over-ear,Denon AH-NC732K,Denon,AH-NC732K
Innerfidelity,in-ear,Denon AH-C551,Denon,AH-C551
Innerfidelity,over-ear,Denon AH-D1001,Denon,AH-D1001
Innerfidelity,over-ear,Denon AH-D400,Denon,AH-D400
oratory1990,over-ear,Denon AH-D7200,Denon,AH-D7200
Rtings,over-ear,Denon AHGC20 Globe Cruiser,Denon,AHGC20 Globe Cruiser
freeryder05,in-ear,DUNU Kima Classic,DUNU,Kima Classic
Harpo,in-ear,DUNU DM380,DUNU,DM380
Innerfidelity,in-ear,DUNU DN2000,DUNU,DN2000
Innerfidelity,in-ear,DUNU DN2000J,DUNU,DN2000J
Innerfidelity,in-ear,DUNU DN900,DUNU,DN900
Innerfidelity,in-ear,DUNU Titan 1,DUNU,Titan 1
Innerfidelity,in-ear,DUNU Titan 3,DUNU,Titan 3
Innerfidelity,in-ear,DUNU Titan 5,DUNU,Titan 5
Super Review,in-ear,DUNU Glacier,DUNU,Glacier
Super Review,in-ear,DUNU SA3,DUNU,SA3
Fahryst,in-ear,FiiO F9,FiiO,F9
Fahryst,in-ear,FiiO FDX,FiiO,FDX
Kazi,in-ear,FiiO x JadeAudio JD3,FiiO,x JadeAudio JD3
oratory1990,in-ear,FiiO F3,FiiO,F3
oratory1990,in-ear,FiiO FA7,FiiO,FA7
oratory1990,in-ear,FiiO FA9,FiiO,FA9
Super Review,in-ear,FiiO FA1,FiiO,FA1
Super Review,in-ear,FiiO FH11,FiiO,FH11
Super Review,in-ear,FiiO FHE Eclipse,FiiO,FHE Eclipse
Super Review,in-ear,FiiO FW5,FiiO,FW5
Super Review,in-ear,FiiO JH5,FiiO,JH5
freeryder05,in-ear,Final Audio A5000,Final Audio,A5000
HypetheSonics,over-ear,Final Audio Sonorous III,Final Audio,Sonorous III
HypetheSonics,over-ear,Final Audio Sonorous X,Final Audio,Sonorous X
Innerfidelity,in-ear,Final Audio Heaven A,Final Audio,Heaven A
Innerfidelity,in-ear,Final Audio Heaven II,Final Audio,Heaven II
Innerfidelity,in-ear,Final Audio Heaven S,Final Audio,Heaven S
Innerfidelity,over-ear,Final Audio Pandora Hope 4,Final Audio,Pandora Hope 4
Kazi,in-ear,Final Audio VR2000,Final Audio,VR2000
Kazi,in-ear,Final Audio ZE8000,Final Audio,ZE8000
oratory1990,in-ear,Final Audio Heaven IV,Final Audio,Heaven IV
oratory1990,in-ear,Final Audio Heaven V,Final Audio,Heaven V
oratory1990,over-ear,Final Audio D8000 Pro Edition,Final Audio,D8000 Pro Edition
RikudouGoku,in-ear,Final Audio EVA2020,Final Audio,EVA2020
Super Review,in-ear,Final Audio A4000,Final Audio,A4000
Auriculares Argentina,over-ear,Grado RS1x,Grado,RS1x
Auriculares Argentina,over-ear,Grado SR325x,Grado,SR325x
Auriculares Argentina,over-ear,Grado SR60x,Grado,SR60x
Headphone.com Legacy,in-ear,Grado GR10,Grado,GR10
Headphone.com Legacy,in-ear,Grado iGi,Grado,iGi
Headphone.com Legacy,in-ear,Grado iGrado White,Grado,iGrado White
Headphone.com Legacy,over-ear,Grado SR225,Grado,SR225
Headphone.com Legacy,over-ear,Grado SR60,Grado,SR60
Headphone.com Legacy,over-ear,Grado SR80,Grado,SR80
HypetheSonics,over-ear,Grado GS3000e,Grado,GS3000e
HypetheSonics,over-ear,Grado PS2000e,Grado,PS2000e
Innerfidelity,over-ear,Grado HF1 Prototype,Grado,HF1 Prototype
Innerfidelity,over-ear,Grado HF1,Grado,HF1
Innerfidelity,over-ear,Grado HF2,Grado,HF2
Innerfidelity,over-ear,Grado SR325i,Grado,SR325i
Innerfidelity,over-ear,Grado SR60i,Grado,SR60i
oratory1990,in-ear,Grado GT220,Grado,GT220
oratory1990,over-ear,Grado Hemp,Grado,Hemp
Rtings,over-ear,Grado SR225e,Grado,SR225e
Rtings,over-ear,Grado The Hemp Headphone,Grado,The Hemp Headphone
Harpo,in-ear,HIFIMAN RE800,HIFIMAN,RE800
Headphone.com Legacy,over-ear,HIFIMAN HE-400,HIFIMAN,HE-400
Innerfidelity,in-ear,HIFIMAN RE262,HIFIMAN,RE262
Innerfidelity,in-ear,HIFIMAN RE272,HIFIMAN,RE272
Innerfidelity,in-ear,HIFIMAN RE300,HIFIMAN,RE300
Innerfidelity,in-ear,HIFIMAN RE600,HIFIMAN,RE600
Innerfidelity,over-ear,HIFIMAN HE-300 Rev 2,HIFIMAN,HE-300 Rev 2
Innerfidelity,over-ear,HIFIMAN HE-300,HIFIMAN,HE-300
Innerfidelity,over-ear,HIFIMAN HE-4,HIFIMAN,HE-4
Innerfidelity,over-ear,HIFIMAN HE1000,HIFIMAN,HE1000
Innerfidelity,over-ear,HIFIMAN HE400S,HIFIMAN,HE400S
Innerfidelity,over-ear,HIFIMAN HE560 2014,HIFIMAN,HE560 2014
Kuulokenurkka,over-ear,HIFIMAN Deva Pro-wired,HIFIMAN,Deva Pro-wired
Kuulokenurkka,over-ear,HIFIMAN HE-R9,HIFIMAN,HE-R9
Kuulokenurkka,over-ear,HIFIMAN Sundara Silver,HIFIMAN,Sundara Silver
Kuulokenurkka,over-ear,HIFIMAN Susvara,HIFIMAN,Susvara
oratory1990,in-ear,HIFIMAN RE600S,HIFIMAN,RE600S
oratory1990,over-ear,HIFIMAN Ananda Stealth,HIFIMAN,Ananda Stealth
oratory1990,over-ear,HIFIMAN Audivina,HIFIMAN,Audivina
oratory1990,over-ear,HIFIMAN Edition XX,HIFIMAN,Edition XX
oratory1990,over-ear,HIFIMAN HE-X4,HIFIMAN,HE-X4
oratory1990,over-ear,HIFIMAN HE1000 Stealth,HIFIMAN,HE1000 Stealth
oratory1990,over-ear,HIFIMAN HE1000 V2,HIFIMAN,HE1000 V2
oratory1990,over-ear,HIFIMAN HE350,HIFIMAN,HE350
oratory1990,over-ear,HIFIMAN HE35X,HIFIMAN,HE35X
oratory1990,over-ear,HIFIMAN HE560,HIFIMAN,HE560
oratory1990,over-ear,HIFIMAN HE5XX,HIFIMAN,HE5XX
oratory1990,over-ear,HIFIMAN HE6se V2,HIFIMAN,HE6se V2
oratory1990,over-ear,HIFIMAN HE6se,HIFIMAN,HE6se
oratory1990,over-ear,HIFIMAN Jade II,HIFIMAN,Jade II
oratory1990,over-ear,HIFIMAN Shangri-La,HIFIMAN,Shangri-La
Rtings,over-ear,HIFIMAN Ananda BT,HIFIMAN,Ananda BT
Super Review,in-ear,HIFIMAN Bolt,HIFIMAN,Bolt
Innerfidelity,over-ear,Jabra Move (wired),Jabra,Move
oratory1990,in-ear,Jabra Evolve 75e,Jabra,Evolve 75e
Rtings,earbud,Jabra Steel,Jabra,Steel
Rtings,earbud,Jabra Talk 45,Jabra,Talk 45
Rtings,in-ear,Jabra Elite 10,Jabra,Elite 10
Rtings,in-ear,Jabra Elite 25e,Jabra,Elite 25e
Rtings,in-ear,Jabra Elite 3,Jabra,Elite 3
Rtings,in-ear,Jabra Elite 4 Active,Jabra,Elite 4 Active
Rtings,in-ear,Jabra Elite 4,Jabra,Elite 4
Rtings,in-ear,Jabra Elite 45e,Jabra,Elite 45e
Rtings,in-ear,Jabra Elite 5,Jabra,Elite 5
Rtings,in-ear,Jabra Elite 65e,Jabra,Elite 65e
Rtings,in-ear,Jabra Elite 65t,Jabra,Elite 65t
Rtings,in-ear,Jabra Elite 7 Active,Jabra,Elite 7 Active
Rtings,in-ear,Jabra Elite 8 Active,Jabra,Elite 8 Active
Rtings,in-ear,Jabra Elite 85t,Jabra,Elite 85t
Rtings,in-ear,Jabra Elite Active 45e,Jabra,Elite Active 45e
Rtings,in-ear,Jabra Elite Active 65t,Jabra,Elite Active 65t
Rtings,in-ear,Jabra Elite Active 75t,Jabra,Elite Active 75t
Rtings,in-ear,Jabra Elite Sport,Jabra,Elite Sport
Rtings,in-ear,Jabra Evolve 65t,Jabra,Evolve 65t
Rtings,over-ear,Jabra Elite 85h,Jabra,Elite 85h
Rtings,over-ear,Jabra Evolve2 65,Jabra,Evolve2 65
Rtings,over-ear,Jabra Evolve2 85,Jabra,Evolve2 85
Innerfidelity,over-ear,JBL J55i,JBL,J55i
Innerfidelity,over-ear,JBL J88i,JBL,J88i
Kazi,in-ear,JBL Tour Pro 2,JBL,Tour Pro 2
kr0mka,in-ear,JBL Tune 110,JBL,Tune 110
oratory1990,in-ear,JBL T200A,JBL,T200A
Rtings,in-ear,JBL CLUB PRO Plus TWS,JBL,CLUB PRO Plus TWS
Rtings,in-ear,JBL E25BT,JBL,E25BT
Rtings,in-ear,JBL Endurance Dive,JBL,Endurance Dive
Rtings,in-ear,JBL Endurance Peak 3,JBL,Endurance Peak 3
Rtings,in-ear,JBL Endurance Peak II,JBL,Endurance Peak II
Rtings,in-ear,JBL Endurance Peak,JBL,Endurance Peak
Rtings,in-ear,JBL Endurance Sprint,JBL,Endurance Sprint
Rtings,in-ear,JBL Everest 110,JBL,Everest 110
Rtings,in-ear,JBL Free 2018,JBL,Free 2018
Rtings,in-ear,JBL Live 200BT,JBL,Live 200BT
Rtings,in-ear,JBL Live 300TWS,JBL,Live 300TWS
Rtings,in-ear,JBL Live Free NC+ TWS,JBL,Live Free NC+ TWS
Rtings,in-ear,JBL Live Pro 2 TWS,JBL,Live Pro 2 TWS
Rtings,in-ear,JBL Live Pro+ TWS,JBL,Live Pro+ TWS
Rtings,in-ear,JBL Reflect Flow,JBL,Reflect Flow
Rtings,in-ear,JBL Reflect Mini 2,JBL,Reflect Mini 2
Rtings,in-ear,JBL Tour Pro+ TWS,JBL,Tour Pro+ TWS
Rtings,in-ear,JBL TUNE 120TWS,JBL,TUNE 120TWS
Rtings,in-ear,JBL Tune 125TWS,JBL,Tune 125TWS
Rtings,in-ear,JBL Tune 130NC TWS,JBL,Tune 130NC TWS
Rtings,in-ear,JBL TUNE 220TWS,JBL,TUNE 220TWS
Rtings,in-ear,JBL Tune 225TWS,JBL,Tune 225TWS
Rtings,in-ear,JBL Tune 230NC TWS,JBL,Tune 230NC TWS
Rtings,in-ear,JBL Tune Buds,JBL,Tune Buds
Rtings,in-ear,JBL Tune Flex,JBL,Tune Flex
Rtings,in-ear,JBL Vibe 100TWS,JBL,Vibe 100TWS
Rtings,in-ear,JBL Vibe Beam,JBL,Vibe Beam
Rtings,in-ear,JBL Vibe Buds,JBL,Vibe Buds
Rtings,over-ear,JBL CLUB 700BT,JBL,CLUB 700BT
Rtings,over-ear,JBL CLUB 950NC,JBL,CLUB 950NC
Rtings,over-ear,JBL CLUB ONE,JBL,CLUB ONE
Rtings,over-ear,JBL E45BT,JBL,E45BT
Rtings,over-ear,JBL E55BT,JBL,E55BT
Rtings,over-ear,JBL E65BTNC,JBL,E65BTNC
Rtings,over-ear,JBL Everest 310,JBL,Everest 310
Rtings,over-ear,JBL Everest 710,JBL,Everest 710
Rtings,over-ear,JBL JR300BT,JBL,JR300BT
Rtings,over-ear,JBL Live 400BT,JBL,Live 400BT
Rtings,over-ear,JBL Live 460NC,JBL,Live 460NC
Rtings,over-ear,JBL Live 500BT,JBL,Live 500BT
Rtings,over-ear,JBL Live 650BTNC,JBL,Live 650BTNC
Rtings,over-ear,JBL Live 660NC,JBL,Live 660NC
Rtings,over-ear,JBL Quantum 100,JBL,Quantum 100
Rtings,over-ear,JBL Quantum 400,JBL,Quantum 400
Rtings,over-ear,JBL Quantum 800,JBL,Quantum 800
Rtings,over-ear,JBL Quantum ONE,JBL,Quantum ONE
Rtings,over-ear,JBL Synchros E50BT,JBL,Synchros E50BT
Rtings,over-ear,JBL Tour One,JBL,Tour One
Rtings,over-ear,JBL Tune 510BT,JBL,Tune 510BT
Rtings,over-ear,JBL Tune 660NC,JBL,Tune 660NC
Rtings,over-ear,JBL TUNE 750BTNC,JBL,TUNE 750BTNC
Rtings,over-ear,JBL Tune 760NC,JBL,Tune 760NC
Headphone.com Legacy,over-ear,Koss Porta Pro Aniv Ed,Koss,Porta Pro Aniv Ed
Headphone.com Legacy,over-ear,Koss PRO DJ 100,Koss,PRO DJ 100
Headphone.com Legacy,over-ear,Koss SportaPro,Koss,SportaPro
Headphone.com Legacy,over-ear,Koss UR 20,Koss,UR 20
Headphone.com Legacy,over-ear,Koss UR 29,Koss,UR 29
Innerfidelity,over-ear,Koss Pro4AA 1975,Koss,Pro4AA 1975
Innerfidelity,over-ear,Koss Pro4AA 2014,Koss,Pro4AA 2014
Innerfidelity,over-ear,Koss Pro4AAA,Koss,Pro4AAA
Innerfidelity,over-ear,Koss Pro4S,Koss,Pro4S
Innerfidelity,over-ear,Koss SP330,Koss,SP330
Innerfidelity,over-ear,Koss SP540,Koss,SP540
oratory1990,over-ear,Koss KSC75X (Yaxi earpads),Koss,KSC75X
Rtings,over-ear,Koss Porta Pro KTC,Koss,Porta Pro KTC
Rtings,over-ear,Koss Porta Pro Wireless,Koss,Porta Pro Wireless
Rtings,over-ear,Koss QZPro,Koss,QZPro
Rtings,over-ear,Koss UR20,Koss,UR20
Super Review,in-ear,Koss KEB90,Koss,KEB90
DHRME,in-ear,KZ VXS Pro,KZ,VXS Pro
Fahryst,in-ear,KZ PR1,KZ,PR1
Harpo,in-ear,KZ ESX,KZ,ESX
Harpo,in-ear,KZ PR2,KZ,PR2
Jaytiss,in-ear,KZ Krila,KZ,Krila
kr0mka,in-ear,KZ ZS5v1,KZ,ZS5v1
oratory1990,in-ear,KZ EDSE,KZ,EDSE
oratory1990,in-ear,KZ ES4,KZ,ES4
oratory1990,in-ear,KZ ZSN Pro X,KZ,ZSN Pro X
Regan Cipher,in-ear,KZ SKS,KZ,SKS
RikudouGoku,in-ear,KZ BA10,KZ,BA10
RikudouGoku,in-ear,KZ ED9 (balanced filter),KZ,ED9
RikudouGoku,in-ear,KZ EDR1,KZ,EDR1
RikudouGoku,in-ear,KZ ZES,KZ,ZES
RikudouGoku,in-ear,KZ ZS4,KZ,ZS4
RikudouGoku,in-ear,KZ ZS6,KZ,ZS6
RikudouGoku,in-ear,KZ ZSE,KZ,ZSE
Rtings,in-ear,KZ ZSN,KZ,ZSN
Super Review,in-ear,KZ AS06,KZ,AS06
Super Review,in-ear,KZ ASX,KZ,ASX
Super Review,in-ear,KZ SK10,KZ,SK10
Super Review,in-ear,KZ ZS10 Pro X,KZ,ZS10 Pro X
ToneDeafMonk,in-ear,KZ Lin Long,KZ,Lin Long
Filk,over-ear,Logitech G Pro X (3,Logitech,G Pro X
Filk,over-ear,Logitech Zone Vibe 100,Logitech,Zone Vibe 100
Innerfidelity,in-ear,Logitech UE 900,Logitech,UE 900
Innerfidelity,over-ear,Logitech UE 6000 passive,Logitech,UE 6000 passive
Innerfidelity,over-ear,Logitech UE 9000,Logitech,UE 9000
Innerfidelity,over-ear,Logitech UE4000 2012,Logitech,UE4000 2012
Rtings,in-ear,Logitech G333,Logitech,G333
