Evaluador,TipoAudifono,MarcaReferencia,Marca,Referencia,MAE,RMSE,Affinity,Segmento
oratory1990,over-ear,AKG K280 Parabolic,AKG,K280 Parabolic,3.4383309352517983,4.987605875979048,50.12394124020952,Buen tono – Musical equilibrado
oratory1990,over-ear,AKG K553,AKG,K553,2.737697841726619,3.3548860105650222,66.45113989434978,Estilo Harman – Usuario general
oratory1990,over-ear,AKG K72,AKG,K72,5.322705035971223,5.985155377438946,40.14844622561054,Personalizado – Firma no neutra
oratory1990,over-ear,AKG K872,AKG,K872,2.241453237410072,2.9632376081411627,70.36762391858838,Estilo Harman – Usuario general
oratory1990,over-ear,AKG K92,AKG,K92,5.589424460431655,6.349199972261843,36.50800027738157,Personalizado – Firma no neutra
oratory1990,over-ear,AKG Y50BT,AKG,Y50BT,3.054187050359712,3.9564506657487337,60.435493342512665,Buen tono – Musical equilibrado
Rtings,in-ear,AKG N200,AKG,N200,2.4903309352517984,3.523230450276478,64.76769549723522,Estilo Harman – Usuario general
Rtings,over-ear,AKG K44,AKG,K44,5.757467625899281,7.447653041551958,25.523469584480424,Personalizado – Firma no neutra
Rtings,over-ear,AKG N700NC,AKG,N700NC,1.9959424460431656,3.076640464331604,69.23359535668396,Estilo Harman – Usuario general
DHRME,in-ear,Anker Soundcore Sleep A20,Anker,Soundcore Sleep A20,4.208071942446043,6.388499345299496,36.11500654700504,Personalizado – Firma no neutra
Regan Cipher,earbud,Anker Soundcore Aerofit Pro,Anker,Soundcore Aerofit Pro,,,,
Regan Cipher,in-ear,Anker Life P2i,Anker,Life P2i,3.1865611510791365,4.09602639520497,59.0397360479503,Buen tono – Musical equilibrado
Regan Cipher,in-ear,Anker P3i,Anker,P3i,2.9026906474820144,3.483829758207577,65.16170241792423,Estilo Harman – Usuario general
Rtings,in-ear,Anker SoundBuds Curve Upgraded 2019,Anker,SoundBuds Curve Upgraded 2019,3.7529640287769785,4.519964331049177,54.80035668950823,Buen tono – Musical equilibrado
Rtings,in-ear,Anker SoundBuds Curve,Anker,SoundBuds Curve,3.320388489208633,4.521909716260862,54.78090283739138,Buen tono – Musical equilibrado
Rtings,in-ear,Anker SoundBuds Life,Anker,SoundBuds Life,4.776071942446043,5.615050189721685,43.84949810278315,Personalizado – Firma no neutra
Rtings,in-ear,Anker SoundBuds Sport,Anker,SoundBuds Sport,6.020791366906475,7.949166636561806,20.50833363438194,Alternativo
Rtings,in-ear,Anker Soundcore Liberty 4,Anker,Soundcore Liberty 4,4.493453237410072,6.959350720149342,30.406492798506576,Personalizado – Firma no neutra
Rtings,in-ear,Anker Soundcore Liberty Air 2 Pro,Anker,Soundcore Liberty Air 2 Pro,3.799395683453237,4.780025977473736,52.199740225262644,Buen tono – Musical equilibrado
Rtings,in-ear,Anker Soundcore Liberty Air,Anker,Soundcore Liberty Air,2.3530359712230213,2.903177123441135,70.96822876558865,Estilo Harman – Usuario general
Rtings,in-ear,Anker Soundcore Liberty Lite,Anker,Soundcore Liberty Lite,2.7820863309352517,3.465337111301587,65.34662888698412,Estilo Harman – Usuario general
Rtings,in-ear,Anker Soundcore Life A2 NC,Anker,Soundcore Life A2 NC,8.056374100719426,9.152937681500887,8.470623184991126,Alternativo
Rtings,in-ear,Anker Soundcore Life Dot 2,Anker,Soundcore Life Dot 2,2.837755395683453,3.7990702005213337,62.009297994786664,Estilo Harman – Usuario general
Rtings,in-ear,Anker Soundcore Life P2,Anker,Soundcore Life P2,3.880388489208633,5.274889817799805,47.25110182200196,Buen tono – Musical equilibrado
Rtings,in-ear,Anker Soundcore Life P3,Anker,Soundcore Life P3,2.9480143884892085,3.8775534636300444,61.22446536369956,Buen tono – Musical equilibrado
Rtings,in-ear,Anker Soundcore P20i (P25i),Anker,Soundcore P20i,3.0443309352517987,3.793055506045548,62.06944493954452,Estilo Harman – Usuario general
Rtings,in-ear,Anker Soundcore Spirit X,Anker,Soundcore Spirit X,2.3724460431654677,3.1972493348740443,68.02750665125956,Estilo Harman – Usuario general
Rtings,in-ear,Anker Zolo Liberty+,Anker,Zolo Liberty+,2.6891079136690648,3.7717030674188785,62.282969325811216,Estilo Harman – Usuario general
Rtings,over-ear,Anker Soundcore Life 2,Anker,Soundcore Life 2,2.7394388489208636,3.450094921017214,65.49905078982786,Estilo Harman – Usuario general
Rtings,over-ear,Anker Soundcore Life Q20,Anker,Soundcore Life Q20,3.3725467625899284,3.9963352996636967,60.03664700336303,Buen tono – Musical equilibrado
Rtings,over-ear,Anker Soundcore Space NC,Anker,Soundcore Space NC,5.220345323741007,6.4149213646862355,35.85078635313765,Personalizado – Firma no neutra
HypetheSonics,over-ear,Audeze LCD-GX,Audeze,LCD-GX,3.4271366906474823,4.653787874703124,53.462121252968764,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audeze EL-8 Closed Back,Audeze,EL-8 Closed Back,3.268187050359712,4.688397388441219,53.116026115587815,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audeze EL-8 Open Back,Audeze,EL-8 Open Back,3.928244604316547,5.6355446073634035,43.644553926365965,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audeze SINE DX,Audeze,SINE DX,5.47558273381295,6.504266391758875,34.957336082411246,Personalizado – Firma no neutra
oratory1990,in-ear,Audeze Euclid,Audeze,Euclid,2.6235107913669062,3.5145983325052836,64.85401667494716,Estilo Harman – Usuario general
oratory1990,over-ear,Audeze CRBN,Audeze,CRBN,3.697884892086331,4.887230152259159,51.127698477408416,Buen tono – Musical equilibrado
oratory1990,over-ear,Audeze LCD-24,Audeze,LCD-24,4.484618705035971,5.551076465700824,44.48923534299176,Personalizado – Firma no neutra
oratory1990,over-ear,Audeze LCD-5,Audeze,LCD-5,3.4857266187050358,4.8519791704523625,51.48020829547637,Buen tono – Musical equilibrado
oratory1990,over-ear,Audeze LCD-MX4,Audeze,LCD-MX4,4.727640287769784,6.060212558895341,39.397874411046594,Personalizado – Firma no neutra
Rtings,over-ear,Audeze Maxwell,Audeze,Maxwell,1.6831223021582733,2.4248056511900424,75.75194348809958,Estilo Harman – Usuario general
Rtings,over-ear,Audeze Penrose,Audeze,Penrose,2.237553956834532,3.1729584497344128,68.27041550265588,Estilo Harman – Usuario general
Filk,over-ear,Audio-Technica BPHS1,Audio-Technica,BPHS1,7.224964028776979,9.596467613006466,4.03532386993534,Alternativo
Headphone.com Legacy,over-ear,Audio-Technica ATH-A55,Audio-Technica,ATH-A55,6.54526618705036,9.39622161932255,6.037783806774513,Alternativo
Headphone.com Legacy,over-ear,Audio-Technica ATH-A700,Audio-Technica,ATH-A700,4.830273381294964,6.684571735016054,33.15428264983946,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Audio-Technica ATH-A900,Audio-Technica,ATH-A900,5.151769784172662,7.11970834420026,28.802916557997392,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Audio-Technica ATH-ESW9,Audio-Technica,ATH-ESW9,6.232604316546762,7.67234218034976,23.2765781965024,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Audio-Technica ATH-ESW9A,Audio-Technica,ATH-ESW9A,5.557496402877698,7.085575315664694,29.14424684335306,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Audio-Technica ATH-FC700A,Audio-Technica,ATH-FC700A,4.346446043165468,6.6082069314543155,33.91793068545684,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Audio-Technica ATH-M50,Audio-Technica,ATH-M50,2.260676258992806,3.0001773328883377,69.99822667111663,Estilo Harman – Usuario general
Headphone.com Legacy,over-ear,Audio-Technica ATH-PRO700,Audio-Technica,ATH-PRO700,11.525913669064748,14.464134920305666,0.0,Alternativo
Innerfidelity,in-ear,Audio-Technica ATH-CKM500,Audio-Technica,ATH-CKM500,4.577741007194245,5.780698434314768,42.19301565685232,Personalizado – Firma no neutra
Innerfidelity,in-ear,Audio-Technica ATH-CKX5iS,Audio-Technica,ATH-CKX5iS,2.9511942446043165,3.679270298314267,63.20729701685733,Estilo Harman – Usuario general
Innerfidelity,in-ear,Audio-Technica ATH-IM02,Audio-Technica,ATH-IM02,3.1245035971223025,3.9328536329034325,60.67146367096568,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audio-Technica ATH-A1000X,Audio-Technica,ATH-A1000X,3.496028776978417,5.224572186540645,47.75427813459355,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audio-Technica ATH-A900X,Audio-Technica,ATH-A900X,3.293798561151079,4.6459686710186,53.540313289814,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audio-Technica ATH-AD2000X,Audio-Technica,ATH-AD2000X,5.396258992805755,6.836392523386362,31.636074766136375,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audio-Technica ATH-ANC50iS (passive),Audio-Technica,ATH-ANC50iS,6.094,7.007159904558876,29.92840095441123,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audio-Technica ATH-ES55,Audio-Technica,ATH-ES55,6.92726618705036,9.503780853091948,4.962191469080523,Alternativo
Innerfidelity,over-ear,Audio-Technica ATH-FC700,Audio-Technica,ATH-FC700,4.631194244604316,7.113522293804977,28.86477706195022,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audio-Technica ATH-MSR7,Audio-Technica,ATH-MSR7,3.900244604316547,5.04184026298038,49.5815973701962,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audio-Technica ATH-W1000X,Audio-Technica,ATH-W1000X,4.335640287769784,6.477121007574476,35.22878992425524,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audio-Technica ATH-W5000 2013,Audio-Technica,ATH-W5000 2013,4.798143884892086,7.129124912244734,28.70875087755266,Personalizado – Firma no neutra
Innerfidelity,over-ear,Audio-Technica ATH-WS55,Audio-Technica,ATH-WS55,3.683323741007194,5.424944955461223,45.75055044538777,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Audio-Technica ATH-WS99,Audio-Technica,ATH-WS99,3.244273381294964,3.9765585243828268,60.23441475617173,Buen tono – Musical equilibrado
kr0mka,over-ear,Audio-Technica ATH-AD500X,Audio-Technica,ATH-AD500X,4.022446043165467,5.924798779329097,40.752012206709026,Personalizado – Firma no neutra
kr0mka,over-ear,Audio-Technica ATH-AWKT,Audio-Technica,ATH-AWKT,5.223812949640288,6.701228589170537,32.987714108294625,Personalizado – Firma no neutra
Kuulokenurkka,over-ear,Audio-Technica ATH-HL7BT,Audio-Technica,ATH-HL7BT,3.33841726618705,4.786400368670451,52.13599631329549,Buen tono – Musical equilibrado
oratory1990,in-ear,Audio-Technica ATH-CKN50,Audio-Technica,ATH-CKN50,3.7338705035971222,4.495593429990059,55.04406570009941,Buen tono – Musical equilibrado
oratory1990,over-ear,Audio-Technica ATH-ADX5000,Audio-Technica,ATH-ADX5000,3.009525179856115,4.1125872057841955,58.87412794215805,Buen tono – Musical equilibrado
oratory1990,over-ear,Audio-Technica ATH-MSR7b,Audio-Technica,ATH-MSR7b,2.425093525179856,3.4007155827590383,65.99284417240962,Estilo Harman – Usuario general
Rtings,in-ear,Audio-Technica ATH-ANC23,Audio-Technica,ATH-ANC23,3.1011942446043164,3.955259225331299,60.44740774668701,Buen tono – Musical equilibrado
Rtings,in-ear,Audio-Technica ATH-ANC33iS,Audio-Technica,ATH-ANC33iS,3.7189208633093527,4.598860055812706,54.01139944187294,Buen tono – Musical equilibrado
Rtings,over-ear,Audio-Technica ATH-ANC70,Audio-Technica,ATH-ANC70,5.519179856115108,6.343216021577925,36.56783978422075,Personalizado – Firma no neutra
Rtings,over-ear,Audio-Technica ATH-DSR9BT,Audio-Technica,ATH-DSR9BT,3.456618705035971,4.388334749139313,56.116652508606876,Buen tono – Musical equilibrado
Rtings,over-ear,Audio-Technica ATH-M30x,Audio-Technica,ATH-M30x,2.896820143884892,4.358833798888291,56.41166201111709,Buen tono – Musical equilibrado
Rtings,over-ear,Audio-Technica ATH-M50xBT,Audio-Technica,ATH-M50xBT,3.1566906474820144,3.724680315575742,62.75319684424258,Estilo Harman – Usuario general
Rtings,over-ear,Audio-Technica ATH-M50xBT2,Audio-Technica,ATH-M50xBT2,3.15063309352518,4.2791451946764205,57.208548053235795,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Beats Mixr,Beats,Mixr,2.505410071942446,3.108594861732305,68.91405138267694,Estilo Harman – Usuario general
Innerfidelity,over-ear,Beats Powerbeats 2 Wireless,Beats,Powerbeats 2 Wireless,2.807007194244604,3.7665996534859243,62.33400346514075,Estilo Harman – Usuario general
Innerfidelity,over-ear,Beats Solo HD,Beats,Solo HD,5.005841726618705,6.7453551938091065,32.54644806190893,Personalizado – Firma no neutra
Innerfidelity,over-ear,Beats Solo2 (2014),Beats,Solo2,3.50831654676259,4.452825115675594,55.47174884324406,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Beats Studio,Beats,Studio,4.480992805755395,5.239075993549536,47.60924006450465,Buen tono – Musical equilibrado
Rtings,in-ear,Beats Beats Powerbeats 4,Beats,Beats Powerbeats 4,1.7739280575539569,2.8223272707150002,71.77672729285,Estilo Harman – Usuario general
Rtings,in-ear,Beats Fit Pro,Beats,Fit Pro,1.5645179856115106,2.276416406257049,77.23583593742951,Estilo Harman – Usuario general
Rtings,in-ear,Beats Flex,Beats,Flex,2.756215827338129,3.9123864729432167,60.87613527056783,Buen tono – Musical equilibrado
Rtings,in-ear,Beats Powerbeats3 Wireless,Beats,Powerbeats3 Wireless,2.4534676258992807,3.225429400892831,67.74570599107169,Estilo Harman – Usuario general
Rtings,in-ear,Beats urBeats,Beats,urBeats,5.055553956834532,6.15666289361465,38.4333710638535,Personalizado – Firma no neutra
Rtings,in-ear,Beats urBeats3,Beats,urBeats3,3.463237410071942,4.2037771128341825,57.962228871658176,Buen tono – Musical equilibrado
Rtings,in-ear,Beats X,Beats,X,2.612431654676259,3.8395886695164547,61.60411330483545,Buen tono – Musical equilibrado
Rtings,over-ear,Beats EP On-Ear,Beats,EP On-Ear,1.9911223021582733,2.544344016602343,74.55655983397656,Estilo Harman – Usuario general
Rtings,over-ear,Beats Solo3 Wireless (2018),Beats,Solo3 Wireless,4.444935251798561,5.070285831909892,49.29714168090108,Buen tono – Musical equilibrado
Rtings,over-ear,Beats Studio Pro,Beats,Studio Pro,2.1983884892086327,3.3470721232983838,66.52927876701617,Estilo Harman – Usuario general
Rtings,over-ear,Beats Studio Wireless,Beats,Studio Wireless,2.624676258992806,3.5688042654216954,64.31195734578304,Estilo Harman – Usuario general
Auriculares Argentina,over-ear,Beyerdynamic DT 990 Pro Black Edition,Beyerdynamic,DT 990 Pro Black Edition,4.655798561151079,6.685640598762944,33.143594012370556,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Beyerdynamic DT 1350,Beyerdynamic,DT 1350,2.9567769784172664,4.043696328855568,59.56303671144432,Buen tono – Musical equilibrado
Headphone.com Legacy,over-ear,Beyerdynamic DT 231,Beyerdynamic,DT 231,8.357913669064748,11.553537892858905,0.0,Alternativo
Headphone.com Legacy,over-ear,Beyerdynamic T70p,Beyerdynamic,T70p,2.5065755395683453,3.4414230158614214,65.58576984138578,Estilo Harman – Usuario general
Innerfidelity,over-ear,Beyerdynamic DJX-1,Beyerdynamic,DJX-1,3.267784172661871,4.54941658051025,54.505834194897496,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Beyerdynamic DT 100 (2x 2k Ohm),Beyerdynamic,DT 100,3.421611510791367,4.336548274290487,56.63451725709513,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Beyerdynamic DT 150 (250 Ohm),Beyerdynamic,DT 150,2.2860575539568346,2.9026377237601806,70.9736227623982,Estilo Harman – Usuario general
Innerfidelity,over-ear,Beyerdynamic DT 240 Pro,Beyerdynamic,DT 240 Pro,2.7468776978417266,4.085667667318254,59.14332332681746,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Beyerdynamic DT 48 S (5 Ohm),Beyerdynamic,DT 48 S,18.18460431654676,24.247656209511803,0.0,Alternativo
Innerfidelity,over-ear,Beyerdynamic DTX 300p,Beyerdynamic,DTX 300p,7.393136690647482,10.582604152451418,0.0,Alternativo
Innerfidelity,over-ear,Beyerdynamic DTX 350m,Beyerdynamic,DTX 350m,2.5499856115107913,3.2611132406503955,67.38886759349604,Estilo Harman – Usuario general
Innerfidelity,over-ear,Beyerdynamic T51i,Beyerdynamic,T51i,3.054330935251799,3.74612740087642,62.5387259912358,Estilo Harman – Usuario general
Kazi,in-ear,Beyerdynamic Xelento Wireless,Beyerdynamic,Xelento Wireless,3.2088345323741003,4.689769885904191,53.10230114095809,Buen tono – Musical equilibrado
oratory1990,in-ear,Beyerdynamic Blue Byrd,Beyerdynamic,Blue Byrd,3.473151079136691,4.3537071278848885,56.462928721151115,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic Amiron Home,Beyerdynamic,Amiron Home,3.464,4.496392638837263,55.036073611627366,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic Aventho Wireless,Beyerdynamic,Aventho Wireless,2.0323741007194243,2.9966415253838212,70.03358474616178,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic Custom One Pro Plus (step 3),Beyerdynamic,Custom One Pro Plus,1.997769784172662,2.9878282818339175,70.12171718166083,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic DT 240,Beyerdynamic,DT 240,2.2693669064748203,3.026861731636588,69.73138268363412,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic DT 770 (Alpha earpads),Beyerdynamic,DT 770,2.463179856115108,3.7507452880497416,62.49254711950258,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic DT 770 M,Beyerdynamic,DT 770 M,4.1937985611510795,5.398552257301965,46.01447742698035,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic DT 880 2003 Edition,Beyerdynamic,DT 880 2003 Edition,2.957482014388489,4.173004731510454,58.269952684895465,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic DT 880 Black Edition,Beyerdynamic,DT 880 Black Edition,2.790230215827338,3.6272697186052754,63.72730281394725,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic DT 880 Edition (600 Ohm),Beyerdynamic,DT 880 Edition,3.138014388489209,4.285449197008861,57.1455080299114,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic DT1990 (Dekoni Elite velour earpads),Beyerdynamic,DT1990,2.6273956834532375,3.4595810034488945,65.40418996551105,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic DTX 350p,Beyerdynamic,DTX 350p,2.1474388489208636,2.831984051696751,71.6801594830325,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic ET1000,Beyerdynamic,ET1000,6.0498705035971225,10.077365191786646,0.0,Alternativo
oratory1990,over-ear,Beyerdynamic Lagoon,Beyerdynamic,Lagoon,2.7295827338129497,3.7420433766985552,62.57956623301445,Estilo Harman – Usuario general
oratory1990,over-ear,Beyerdynamic T5 (3rd Gen),Beyerdynamic,T5,3.501021582733813,4.556981757019985,54.430182429800155,Buen tono – Musical equilibrado
oratory1990,over-ear,Beyerdynamic TYGR 300,Beyerdynamic,TYGR 300,2.6219280575539567,3.5378231733306564,64.62176826669344,Estilo Harman – Usuario general
Harpo,in-ear,Bose IE2,Bose,IE2,9.009136690647482,10.01755347866143,0.0,Alternativo
Headphone.com Legacy,over-ear,Bose QuietComfort 3,Bose,QuietComfort 3,3.032302158273381,4.130159315477191,58.69840684522809,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Bose AE2,Bose,AE2,2.6608776978417263,3.8367672055948425,61.632327944051575,Buen tono – Musical equilibrado
oratory1990,in-ear,Bose Q25 (ANC off),Bose,Q25,6.838647482014388,8.482331446164428,15.176685538355713,Alternativo
Rtings,earbud,Bose Sport Open Earbuds,Bose,Sport Open Earbuds,,,,
Rtings,earbud,Bose Ultra Open Earbuds,Bose,Ultra Open Earbuds,,,,
Rtings,in-ear,Bose Hearphones,Bose,Hearphones,5.095496402877698,8.866971460295666,11.33028539704334,Alternativo
Rtings,in-ear,Bose QuietComfort Earbuds II,Bose,QuietComfort Earbuds II,4.538474820143885,5.103165077963835,48.968349220361645,Buen tono – Musical equilibrado
Rtings,in-ear,Bose QuietComfort Earbuds,Bose,QuietComfort Earbuds,1.949223021582734,2.46944787467875,75.3055212532125,Estilo Harman – Usuario general
Rtings,in-ear,Bose SoundSport In-Ear,Bose,SoundSport In-Ear,4.599453237410072,7.6496785844924995,23.503214155075,Personalizado – Firma no neutra
Rtings,in-ear,Bose SoundTrue Ultra In-Ear,Bose,SoundTrue Ultra In-Ear,1.914071942446043,2.3500896661295543,76.49910333870446,Estilo Harman – Usuario general
Rtings,in-ear,Bose Sport Earbuds,Bose,Sport Earbuds,3.5863309352517985,5.0897035856646955,49.10296414335305,Buen tono – Musical equilibrado
Rtings,over-ear,Bose QuietComfort 35 II Gaming Headsetâ€‹,Bose,QuietComfort 35 II Gaming Headsetâ€‹,1.940071942446043,2.8589666845902775,71.41033315409723,Estilo Harman – Usuario general
Rtings,over-ear,Bose QuietControl 30,Bose,QuietControl 30,1.7779712230215827,2.482399541172691,75.17600458827309,Estilo Harman – Usuario general
Rtings,over-ear,Bose SoundLink Around-Ear II,Bose,SoundLink Around-Ear II,2.1178992805755397,2.986759606938645,70.13240393061355,Estilo Harman – Usuario general
Rtings,over-ear,Bose SoundLink On-Ear,Bose,SoundLink On-Ear,3.6861294964028777,4.794601550575082,52.053984494249185,Buen tono – Musical equilibrado
Rtings,over-ear,Bose SoundTrue Around-Ear II,Bose,SoundTrue Around-Ear II,3.1943741007194246,4.029358643647484,59.70641356352516,Buen tono – Musical equilibrado
Headphone.com Legacy,in-ear,Denon AH-C260R,Denon,AH-C260R,5.003568345323741,6.267363012997623,37.32636987002377,Personalizado – Firma no neutra
Headphone.com Legacy,in-ear,Denon AH-C351K,Denon,AH-C351K,4.02821582733813,4.835735754543437,51.64264245456563,Buen tono – Musical equilibrado
Headphone.com Legacy,in-ear,Denon AH-C452K,Denon,AH-C452K,3.80063309352518,4.547136279607611,54.52863720392389,Buen tono – Musical equilibrado
Headphone.com Legacy,in-ear,Denon AH-C551K,Denon,AH-C551K,5.365913669064748,6.199553256125764,38.00446743874236,Personalizado – Firma no neutra
Headphone.com Legacy,in-ear,Denon AH-C751K,Denon,AH-C751K,3.967841726618705,4.7194340442304865,52.80565955769514,Buen tono – Musical equilibrado
Headphone.com Legacy,over-ear,Denon AH-D1001K Silver,Denon,AH-D1001K Silver,4.615510791366907,5.845132095054233,41.54867904945767,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Denon AH-D310R,Denon,AH-D310R,4.386287769784173,5.840703552279598,41.59296447720402,Personalizado – Firma no neutra
Headphone.com Legacy,over-ear,Denon AH-NC732K,Denon,AH-NC732K,6.538287769784172,7.706040861259152,22.939591387408484,Personalizado – Firma no neutra
Innerfidelity,in-ear,Denon AH-C551,Denon,AH-C551,4.23136690647482,5.037032928165594,49.62967071834406,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Denon AH-D1001,Denon,AH-D1001,3.8755395683453235,4.926670596403582,50.73329403596418,Buen tono – Musical equilibrado
Innerfidelity,over-ear,Denon AH-D400,Denon,AH-D400,5.107136690647482,6.931753398661562,30.682466013384385,Personalizado – Firma no neutra
oratory1990,over-ear,Denon AH-D7200,Denon,AH-D7200,2.956719424460432,3.778493209634205,62.215067903657946,Estilo Harman – Usuario general
Rtings,over-ear,Denon AHGC20 Globe Cruiser,Denon,AHGC20 Globe Cruiser,4.58546762589928,5.6857155355398445,43.14284464460155,Personalizado – Firma no neutra
freeryder05,in-ear,DUNU Kima Classic,DUNU,Kima Classic,2.069769784172662,2.975527061709241,70.2447293829076,Estilo Harman – Usuario general
Harpo,in-ear,DUNU DM380,DUNU,DM380,4.337884892086331,5.043496118123338,49.565038818766624,Buen tono – Musical equilibrado
Innerfidelity,in-ear,DUNU DN2000,DUNU,DN2000,2.5443741007194243,3.366907852794405,66.33092147205595,Estilo Harman – Usuario general
Innerfidelity,in-ear,DUNU DN2000J,DUNU,DN2000J,2.311021582733813,2.894064130983383,71.05935869016616,Estilo Harman – Usuario general
Innerfidelity,in-ear,DUNU DN900,DUNU,DN900,4.148618705035971,6.173121512543966,38.268784874560346,Personalizado – Firma no neutra
Innerfidelity,in-ear,DUNU Titan 1,DUNU,Titan 1,2.3149208633093528,2.9157560318740785,70.84243968125921,Estilo Harman – Usuario general
Innerfidelity,in-ear,DUNU Titan 3,DUNU,Titan 3,2.165151079136691,3.044831639389971,69.55168360610028,Estilo Harman – Usuario general
Innerfidelity,in-ear,DUNU Titan 5,DUNU,Titan 5,2.1282014388489205,2.9445856666433463,70.55414333356654,Estilo Harman – Usuario general
Super Review,in-ear,DUNU Glacier,DUNU,Glacier,2.4266906474820145,3.4483237299828144,65.51676270017185,Estilo Harman – Usuario general
Super Review,in-ear,DUNU SA3,DUNU,SA3,3.8346474820143883,5.262267613078479,47.37732386921521,Buen tono – Musical equilibrado
Fahryst,in-ear,FiiO F9,FiiO,F9,3.260935251798561,4.216982981661878,57.83017018338122,Buen tono – Musical equilibrado
