Frecuencia_Hz,Electrónica_dB,HipHop_dB,Clásica_dB,Gaming_dB,Podcast_dB,Rock_dB,Regueton_dB,Pop_dB,Jazz_dB,Metal_dB,Trap_dB
30.08,4.748,5.748,0.0,3.748,-3.748,-1.748,5.748,2.748,-1.748,-0.748,5.748
30.38,4.7405,5.7405,0.0,3.7405,-3.7405,-1.7405,5.7405,2.7405,-1.7405,-0.7404999999999999,5.7405
30.68,4.733,5.733,0.0,3.733,-3.733,-1.733,5.733,2.733,-1.733,-0.733,5.733
30.99,4.72525,5.72525,0.0,3.72525,-3.72525,-1.72525,5.72525,2.72525,-1.72525,-0.72525,5.72525
31.3,4.7175,5.7175,0.0,3.7175,-3.7175,-1.7175,5.7175,2.7175,-1.7175,-0.7175,5.7175
31.61,4.70975,5.70975,0.0,3.70975,-3.70975,-1.70975,5.70975,2.70975,-1.70975,-0.70975,5.70975
31.93,4.70175,5.70175,0.0,3.70175,-3.70175,-1.70175,5.70175,2.70175,-1.70175,-0.70175,5.70175
32.24,4.694,5.694,0.0,3.694,-3.694,-1.694,5.694,2.694,-1.694,-0.694,5.694
32.57,4.68575,5.68575,0.0,3.68575,-3.68575,-1.68575,5.68575,2.68575,-1.68575,-0.68575,5.68575
32.89,4.67775,5.67775,0.0,3.67775,-3.67775,-1.67775,5.67775,2.67775,-1.67775,-0.67775,5.67775
33.22,4.6695,5.6695,0.0,3.6695,-3.6695,-1.6695,5.6695,2.6695,-1.6695,-0.6695,5.6695
33.55,4.66125,5.66125,0.0,3.66125,-3.66125,-1.6612500000000001,5.66125,2.66125,-1.6612500000000001,-0.6612500000000001,5.66125
33.89,4.65275,5.65275,0.0,3.65275,-3.65275,-1.65275,5.65275,2.65275,-1.65275,-0.6527499999999999,5.65275
34.23,4.64425,5.64425,0.0,3.64425,-3.64425,-1.64425,5.64425,2.64425,-1.64425,-0.64425,5.64425
34.57,4.63575,5.63575,0.0,3.63575,-3.63575,-1.63575,5.63575,2.63575,-1.63575,-0.63575,5.63575
34.92,4.627,5.627,0.0,3.627,-3.627,-1.627,5.627,2.627,-1.627,-0.627,5.627
35.27,4.61825,5.61825,0.0,3.6182499999999997,-3.6182499999999997,-1.61825,5.61825,2.6182499999999997,-1.61825,-0.61825,5.61825
35.62,4.6095,5.6095,0.0,3.6095,-3.6095,-1.6095000000000002,5.6095,2.6095,-1.6095000000000002,-0.6095,5.6095
35.97,4.60075,5.60075,0.0,3.60075,-3.60075,-1.6007500000000001,5.60075,2.60075,-1.6007500000000001,-0.60075,5.60075
36.33,4.59175,5.59175,0.0,3.59175,-3.59175,-1.59175,5.59175,2.59175,-1.59175,-0.59175,5.59175
36.7,4.5825,5.5825,0.0,3.5825,-3.5825,-1.5825,5.5825,2.5825,-1.5825,-0.5824999999999999,5.5825
37.06,4.5735,5.5735,0.0,3.5735,-3.5735,-1.5735,5.5735,2.5735,-1.5735,-0.5734999999999999,5.5735
37.43,4.56425,5.56425,0.0,3.56425,-3.56425,-1.56425,5.56425,2.56425,-1.56425,-0.5642499999999999,5.56425
37.81,4.55475,5.55475,0.0,3.55475,-3.55475,-1.5547499999999999,5.55475,2.55475,-1.5547499999999999,-0.5547499999999999,5.55475
38.19,4.54525,5.54525,0.0,3.5452500000000002,-3.5452500000000002,-1.54525,5.54525,2.5452500000000002,-1.54525,-0.54525,5.54525
38.57,4.53575,5.53575,0.0,3.53575,-3.53575,-1.53575,5.53575,2.53575,-1.53575,-0.53575,5.53575
38.95,4.52625,5.52625,0.0,3.52625,-3.52625,-1.5262499999999999,5.52625,2.52625,-1.5262499999999999,-0.5262499999999999,5.52625
39.34,4.5165,5.5165,0.0,3.5164999999999997,-3.5164999999999997,-1.5165,5.5165,2.5164999999999997,-1.5165,-0.5165,5.5165
39.74,4.5065,5.5065,0.0,3.5065,-3.5065,-1.5065,5.5065,2.5065,-1.5065,-0.5065,5.5065
40.14,4.4965,5.4965,0.0,3.4965,-3.4965,-1.4965,5.4965,2.4965,-1.4965,-0.49649999999999994,5.4965
40.54,4.4865,5.4865,0.0,3.4865,-3.4865,-1.4865,5.4865,2.4865,-1.4865,-0.48650000000000004,5.4865
40.94,4.4765,5.4765,0.0,3.4765,-3.4765,-1.4765000000000001,5.4765,2.4765,-1.4765000000000001,-0.47650000000000003,5.4765
41.35,4.46625,5.46625,0.0,3.46625,-3.46625,-1.46625,5.46625,2.46625,-1.46625,-0.46624999999999994,5.46625
41.76,4.456,5.456,0.0,3.456,-3.456,-1.456,5.456,2.456,-1.456,-0.45600000000000007,5.456
42.18,4.4455,5.4455,0.0,3.4455,-3.4455,-1.4455,5.4455,2.4455,-1.4455,-0.4455,5.4455
42.6,4.435,5.435,0.0,3.435,-3.435,-1.435,5.435,2.435,-1.435,-0.43499999999999994,5.435
43.03,4.42425,5.42425,0.0,3.42425,-3.42425,-1.4242499999999998,5.42425,2.42425,-1.4242499999999998,-0.4242499999999999,5.42425
43.46,4.4135,5.4135,0.0,3.4135,-3.4135,-1.4135,5.4135,2.4135,-1.4135,-0.4135,5.4135
43.9,4.4025,5.4025,0.0,3.4025,-3.4025,-1.4024999999999999,5.4025,2.4025,-1.4024999999999999,-0.40249999999999997,5.4025
44.33,4.39175,5.39175,0.0,3.39175,-3.39175,-1.39175,5.39175,2.39175,-1.39175,-0.39175000000000004,5.39175
44.78,4.3805,5.3805,0.0,3.3805,-3.3805,-1.3805,5.3805,2.3805,-1.3805,-0.38049999999999995,5.3805
45.23,4.36925,5.36925,0.0,3.36925,-3.36925,-1.36925,5.36925,2.36925,-1.36925,-0.3692500000000001,5.36925
45.68,4.358,5.358,0.0,3.358,-3.358,-1.358,5.358,2.358,-1.358,-0.358,5.358
46.13,4.34675,5.34675,0.0,3.34675,-3.34675,-1.34675,5.34675,2.34675,-1.34675,-0.3467499999999999,5.34675
46.6,4.335,5.335,0.0,3.335,-3.335,-1.335,5.335,2.335,-1.335,-0.33499999999999996,5.335
47.06,4.3235,5.3235,0.0,3.3235,-3.3235,-1.3235,5.3235,2.3235,-1.3235,-0.3234999999999999,5.3235
47.53,4.31175,5.31175,0.0,3.31175,-3.31175,-1.31175,5.31175,2.31175,-1.31175,-0.31174999999999997,5.31175
48.01,4.2997499999999995,5.2997499999999995,0.0,3.29975,-3.29975,-1.29975,5.2997499999999995,2.29975,-1.29975,-0.29974999999999996,5.2997499999999995
48.49,4.28775,5.28775,0.0,3.28775,-3.28775,-1.28775,5.28775,2.28775,-1.28775,-0.28774999999999995,5.28775
48.97,4.27575,5.27575,0.0,3.27575,-3.27575,-1.27575,5.27575,2.27575,-1.27575,-0.27574999999999994,5.27575
49.46,4.2635,5.2635,0.0,3.2635,-3.2635,-1.2635,5.2635,2.2635,-1.2635,-0.26349999999999996,5.2635
49.96,4.2509999999999994,5.2509999999999994,0.0,3.251,-3.251,-1.251,5.2509999999999994,2.251,-1.251,-0.2509999999999999,5.2509999999999994
50.46,4.2385,5.2385,0.0,3.2385,-3.2385,-1.2385,5.2385,2.2385,-1.2385,-0.23849999999999993,5.2385
50.96,4.226,5.226,0.0,3.226,-3.226,-1.226,5.226,2.226,-1.226,-0.22599999999999998,5.226
51.47,4.21325,5.21325,0.0,3.21325,-3.21325,-1.21325,5.21325,2.21325,-1.21325,-0.21324999999999994,5.21325
51.99,4.20025,5.20025,0.0,3.20025,-3.20025,-1.20025,5.20025,2.20025,-1.20025,-0.20024999999999993,5.20025
52.51,4.18725,5.18725,0.0,3.18725,-3.18725,-1.1872500000000001,5.18725,2.18725,-1.1872500000000001,-0.18725000000000003,5.18725
53.03,4.17425,5.17425,0.0,3.17425,-3.17425,-1.1742499999999998,5.17425,2.17425,-1.1742499999999998,-0.1742499999999999,5.17425
53.56,4.161,5.161,0.0,3.161,-3.161,-1.161,5.161,2.161,-1.161,-0.16099999999999992,5.161
54.1,4.1475,5.1475,0.0,3.1475,-3.1475,-1.1475,5.1475,2.1475,-1.1475,-0.14749999999999996,5.1475
54.64,4.134,5.134,0.0,3.134,-3.134,-1.134,5.134,2.134,-1.134,-0.1339999999999999,5.134
55.18,4.1205,5.1205,0.0,3.1205,-3.1205,-1.1204999999999998,5.1205,2.1205,-1.1204999999999998,-0.12049999999999994,5.1205
55.74,4.1065,5.1065,0.0,3.1065,-3.1065,-1.1065,5.1065,2.1065,-1.1065,-0.10649999999999993,5.1065
56.29,4.09275,5.09275,0.0,3.09275,-3.09275,-1.09275,5.09275,2.09275,-1.09275,-0.09275,5.09275
56.86,4.0785,5.0785,0.0,3.0785,-3.0785,-1.0785,5.0785,2.0785,-1.0785,-0.07850000000000001,5.0785
57.42,4.0645,5.0645,0.0,3.0645,-3.0645,-1.0644999999999998,5.0645,2.0645,-1.0644999999999998,-0.06449999999999989,5.0645
58.0,4.05,5.05,0.0,3.05,-3.05,-1.0499999999999998,5.05,2.05,-1.0499999999999998,-0.04999999999999993,5.05
58.58,4.0355,5.0355,0.0,3.0355,-3.0355,-1.0354999999999999,5.0355,2.0355,-1.0354999999999999,-0.035499999999999976,5.0355
59.16,4.021,5.021,0.0,3.021,-3.021,-1.021,5.021,2.021,-1.021,-0.02100000000000002,5.021
59.76,4.006,5.006,0.0,3.0060000000000002,-3.0060000000000002,-1.006,5.006,2.0060000000000002,-1.006,-0.006000000000000005,5.006
60.35,3.99125,4.99125,0.0,2.99125,-2.99125,-0.99125,4.99125,1.99125,-0.99125,0.008750000000000036,4.99125
60.96,3.976,4.976,0.0,2.976,-2.976,-0.976,4.976,1.976,-0.976,0.02400000000000002,4.976
61.57,3.96075,4.96075,0.0,2.96075,-2.96075,-0.96075,4.96075,1.96075,-0.96075,0.03925000000000001,4.96075
62.18,3.9455,4.9455,0.0,2.9455,-2.9455,-0.9455,4.9455,1.9455,-0.9455,0.05449999999999999,4.9455
62.8,3.93,4.93,0.0,2.93,-2.93,-0.93,4.93,1.9300000000000002,-0.93,0.06999999999999994,4.93
63.43,3.91425,4.91425,0.0,2.91425,-2.91425,-0.91425,4.91425,1.91425,-0.91425,0.08574999999999999,4.91425
64.07,3.89825,4.89825,0.0,2.89825,-2.89825,-0.8982500000000002,4.89825,1.8982500000000002,-0.8982500000000002,0.10174999999999984,4.89825
64.71,3.88225,4.88225,0.0,2.88225,-2.88225,-0.8822500000000002,4.88225,1.8822500000000002,-0.8822500000000002,0.11774999999999985,4.88225
65.35,3.86625,4.86625,0.0,2.86625,-2.86625,-0.8662500000000002,4.86625,1.8662500000000002,-0.8662500000000002,0.13374999999999987,4.86625
66.01,3.84975,4.84975,0.0,2.84975,-2.84975,-0.8497499999999999,4.84975,1.8497499999999998,-0.8497499999999999,0.15025000000000013,4.84975
66.67,3.83325,4.83325,0.0,2.83325,-2.83325,-0.8332499999999999,4.83325,1.83325,-0.8332499999999999,0.16675000000000006,4.83325
67.33,3.81675,4.81675,0.0,2.81675,-2.81675,-0.8167500000000001,4.81675,1.81675,-0.8167500000000001,0.18324999999999997,4.81675
68.01,3.79975,4.7997499999999995,0.0,2.79975,-2.79975,-0.7997499999999998,4.7997499999999995,1.79975,-0.7997499999999998,0.20025000000000015,4.7997499999999995
68.69,3.78275,4.78275,0.0,2.78275,-2.78275,-0.7827500000000001,4.78275,1.78275,-0.7827500000000001,0.21724999999999994,4.78275
69.37,3.7657499999999997,4.76575,0.0,2.7657499999999997,-2.7657499999999997,-0.7657499999999999,4.76575,1.76575,-0.7657499999999999,0.23425000000000012,4.76575
70.07,3.74825,4.7482500000000005,0.0,2.74825,-2.74825,-0.7482500000000001,4.7482500000000005,1.74825,-0.7482500000000001,0.25174999999999986,4.7482500000000005
70.77,3.73075,4.7307500000000005,0.0,2.73075,-2.73075,-0.73075,4.7307500000000005,1.73075,-0.73075,0.26924999999999993,4.7307500000000005
71.48,3.713,4.713,0.0,2.713,-2.713,-0.7129999999999999,4.713,1.7129999999999999,-0.7129999999999999,0.2870000000000001,4.713
72.19,3.69525,4.69525,0.0,2.69525,-2.69525,-0.69525,4.69525,1.6952500000000001,-0.69525,0.30474999999999997,4.69525
72.91,3.67725,4.67725,0.0,2.67725,-2.67725,-0.6772500000000001,4.67725,1.6772500000000001,-0.6772500000000001,0.3227499999999999,4.67725
73.64,3.659,4.659,0.0,2.659,-2.659,-0.659,4.659,1.659,-0.659,0.341,4.659
74.38,3.6405000000000003,4.6405,0.0,2.6405000000000003,-2.6405000000000003,-0.6405000000000001,4.6405,1.6405,-0.6405000000000001,0.35949999999999993,4.6405
75.12,3.622,4.622,0.0,2.622,-2.622,-0.6219999999999999,4.622,1.6219999999999999,-0.6219999999999999,0.3780000000000001,4.622
75.87,3.60325,4.60325,0.0,2.60325,-2.60325,-0.6032499999999998,4.60325,1.6032499999999998,-0.6032499999999998,0.39675000000000016,4.60325
76.63,3.58425,4.58425,0.0,2.58425,-2.58425,-0.5842500000000002,4.58425,1.5842500000000002,-0.5842500000000002,0.4157499999999999,4.58425
77.4,3.565,4.5649999999999995,0.0,2.565,-2.565,-0.5649999999999998,4.5649999999999995,1.565,-0.5649999999999998,0.43500000000000016,4.5649999999999995
78.17,3.54575,4.54575,0.0,2.54575,-2.54575,-0.54575,4.54575,1.54575,-0.54575,0.45425000000000004,4.54575
78.95,3.52625,4.52625,0.0,2.52625,-2.52625,-0.5262499999999999,4.52625,1.5262499999999999,-0.5262499999999999,0.4737500000000001,4.52625
79.74,3.5065,4.5065,0.0,2.5065,-2.5065,-0.5065000000000002,4.5065,1.5065000000000002,-0.5065000000000002,0.4934999999999999,4.5065
80.54,3.4865,4.4864999999999995,0.0,2.4865,-2.4865,-0.4864999999999998,4.4864999999999995,1.4865,-0.4864999999999998,0.5135000000000002,4.4864999999999995
81.35,3.46625,4.4662500000000005,0.0,2.46625,-2.46625,-0.46625000000000016,4.4662500000000005,1.46625,-0.46625000000000016,0.5337499999999998,4.4662500000000005
82.16,3.446,4.446,0.0,2.446,-2.446,-0.44600000000000006,4.446,1.4460000000000002,-0.44600000000000006,0.5539999999999999,4.446
82.98,3.4255,4.4254999999999995,0.0,2.4255,-2.4255,-0.4254999999999999,4.4254999999999995,1.4255,-0.4254999999999999,0.5745000000000001,4.4254999999999995
83.81,3.40475,4.40475,0.0,2.40475,-2.40475,-0.40474999999999994,4.40475,1.40475,-0.40474999999999994,0.5952500000000001,4.40475
84.65,3.38375,4.38375,0.0,2.38375,-2.38375,-0.3837499999999998,4.38375,1.3837499999999998,-0.3837499999999998,0.6162500000000002,4.38375
85.5,3.3625,4.3625,0.0,2.3625,-2.3625,-0.36249999999999993,4.3625,1.3624999999999998,-0.36249999999999993,0.6375000000000001,4.3625
86.35,3.34125,4.3412500000000005,0.0,2.34125,-2.34125,-0.34125000000000005,4.3412500000000005,1.34125,-0.34125000000000005,0.65875,4.3412500000000005
87.22,3.3195,4.3195,0.0,2.3195,-2.3195,-0.3195,4.3195,1.3195000000000001,-0.3195,0.6805,4.3195
88.09,3.2977499999999997,4.29775,0.0,2.2977499999999997,-2.2977499999999997,-0.29774999999999985,4.29775,1.2977499999999997,-0.29774999999999985,0.7022500000000002,4.29775
88.97,3.27575,4.27575,0.0,2.27575,-2.27575,-0.27574999999999994,4.27575,1.27575,-0.27574999999999994,0.7242500000000001,4.27575
89.86,3.2535,4.2535,0.0,2.2535,-2.2535,-0.25349999999999995,4.2535,1.2534999999999998,-0.25349999999999995,0.7465,4.2535
90.76,3.231,4.231,0.0,2.231,-2.231,-0.23099999999999987,4.231,1.2309999999999999,-0.23099999999999987,0.7690000000000001,4.231
91.66,3.2085,4.2085,0.0,2.2085,-2.2085,-0.20850000000000002,4.2085,1.2085,-0.20850000000000002,0.7915,4.2085
92.58,3.1855,4.1855,0.0,2.1855,-2.1855,-0.1855,4.1855,1.1855,-0.1855,0.8145,4.1855
93.51,3.16225,4.16225,0.0,2.16225,-2.16225,-0.16224999999999978,4.16225,1.1622499999999998,-0.16224999999999978,0.8377500000000002,4.16225
94.44,3.1390000000000002,4.139,0.0,2.1390000000000002,-2.1390000000000002,-0.139,4.139,1.139,-0.139,0.861,4.139
95.39,3.11525,4.11525,0.0,2.11525,-2.11525,-0.11524999999999996,4.11525,1.11525,-0.11524999999999996,0.88475,4.11525
96.34,3.0915,4.0915,0.0,2.0915,-2.0915,-0.09149999999999991,4.0915,1.0915,-0.09149999999999991,0.9085000000000001,4.0915
97.3,3.0675,4.0675,0.0,2.0675,-2.0675,-0.0675,4.0675,1.0675,-0.0675,0.9325,4.0675
98.28,3.043,4.043,0.0,2.043,-2.043,-0.04299999999999993,4.043,1.043,-0.04299999999999993,0.9570000000000001,4.043
99.26,3.0185,4.0184999999999995,0.0,2.0185,-2.0185,-0.01849999999999985,4.0184999999999995,1.0185,-0.01849999999999985,0.9815000000000002,4.0184999999999995
100.25,2.995,3.9975,0.0,1.99875,-1.9966666666666666,0.000625,3.996875,0.999375,0.000625,1.000625,3.9975
101.25,2.975,3.9875,0.0,1.99375,-1.9833333333333334,0.003125,3.984375,0.996875,0.003125,1.003125,3.9875
102.27,2.9546,3.9773,0.0,1.98865,-1.9697333333333333,0.00567499999999999,3.971625,0.994325,0.00567499999999999,1.005675,3.9773
103.29,2.9341999999999997,3.9671,0.0,1.98355,-1.9561333333333333,0.008225000000000015,3.958875,0.991775,0.008225000000000015,1.008225,3.9671
104.32,2.9136,3.9568,0.0,1.9784,-1.9424000000000001,0.010799999999999983,3.946,0.9892,0.010799999999999983,1.0108,3.9568
105.37,2.8926,3.9463,0.0,1.97315,-1.9284,0.013425000000000012,3.932875,0.986575,0.013425000000000012,1.013425,3.9463
106.42,2.8716,3.9358,0.0,1.9679,-1.9143999999999999,0.016050000000000005,3.91975,0.98395,0.016050000000000005,1.01605,3.9358
107.48,2.8504,3.9252,0.0,1.9626,-1.9002666666666665,0.018700000000000012,3.9065,0.9813,0.018700000000000012,1.0187,3.9252
108.56,2.8287999999999998,3.9144,0.0,1.9572,-1.8858666666666666,0.021400000000000006,3.893,0.9786,0.021400000000000006,1.0214,3.9144
109.64,2.8072,3.9036,0.0,1.9518,-1.8714666666666666,0.024100000000000003,3.8795,0.9759,0.024100000000000003,1.0241,3.9036
110.74,2.7852,3.8926,0.0,1.9463,-1.8568,0.02684999999999999,3.8657500000000002,0.97315,0.02684999999999999,1.02685,3.8926
111.85,2.763,3.8815,0.0,1.94075,-1.842,0.029624999999999985,3.851875,0.970375,0.029624999999999985,1.029625,3.8815
112.97,2.7406,3.8703,0.0,1.93515,-1.8270666666666666,0.032424999999999995,3.837875,0.967575,0.032424999999999995,1.032425,3.8703
114.1,2.718,3.859,0.0,1.9295,-1.812,0.03524999999999999,3.82375,0.96475,0.03524999999999999,1.03525,3.859
115.24,2.6952000000000003,3.8476,0.0,1.9238,-1.7968000000000002,0.03809999999999999,3.8095,0.9619,0.03809999999999999,1.0381,3.8476
116.39,2.6722,3.8361,0.0,1.91805,-1.7814666666666668,0.040975000000000004,3.795125,0.959025,0.040975000000000004,1.040975,3.8361
117.55,2.649,3.8245,0.0,1.91225,-1.766,0.04387499999999999,3.780625,0.956125,0.04387499999999999,1.0438749999999999,3.8245
118.73,2.6254,3.8127,0.0,1.90635,-1.7502666666666666,0.04682500000000001,3.765875,0.953175,0.04682500000000001,1.0468250000000001,3.8127
119.92,2.6016,3.8008,0.0,1.9004,-1.7344,0.049800000000000004,3.751,0.9502,0.049800000000000004,1.0498,3.8008
121.12,2.5776,3.7888,0.0,1.8944,-1.7184,0.052800000000000014,3.7359999999999998,0.9472,0.052800000000000014,1.0528,3.7888
122.33,2.5534,3.7767,0.0,1.88835,-1.7022666666666666,0.055825,3.720875,0.944175,0.055825,1.055825,3.7767
123.55,2.529,3.7645,0.0,1.88225,-1.686,0.058875,3.705625,0.941125,0.058875,1.058875,3.7645
124.79,2.5042,3.7521,0.0,1.87605,-1.6694666666666667,0.061975000000000016,3.690125,0.938025,0.061975000000000016,1.0619750000000001,3.7521
126.03,2.4794,3.7397,0.0,1.86985,-1.6529333333333334,0.06507500000000001,3.674625,0.934925,0.06507500000000001,1.065075,3.7397
127.29,2.4541999999999997,3.7271,0.0,1.86355,-1.6361333333333332,0.06822500000000002,3.658875,0.931775,0.06822500000000002,1.068225,3.7271
128.57,2.4286000000000003,3.7143,0.0,1.85715,-1.6190666666666667,0.07142499999999999,3.642875,0.928575,0.07142499999999999,1.071425,3.7143
129.85,2.403,3.7015000000000002,0.0,1.8507500000000001,-1.602,0.07462499999999998,3.626875,0.9253750000000001,0.07462499999999998,1.074625,3.7015000000000002
131.15,2.377,3.6885,0.0,1.84425,-1.5846666666666667,0.07787500000000001,3.6106249999999998,0.922125,0.07787500000000001,1.077875,3.6885
132.46,2.3507999999999996,3.6754,0.0,1.8377,-1.5672,0.08115000000000003,3.5942499999999997,0.91885,0.08115000000000003,1.08115,3.6754
133.79,2.3242000000000003,3.6621,0.0,1.83105,-1.5494666666666668,0.08447499999999998,3.5776250000000003,0.915525,0.08447499999999998,1.084475,3.6621
135.12,2.2976,3.6488,0.0,1.8244,-1.5317333333333332,0.08780000000000002,3.561,0.9122,0.08780000000000002,1.0878,3.6488
136.48,2.2704000000000004,3.6352,0.0,1.8176,-1.5136,0.09119999999999998,3.544,0.9088,0.09119999999999998,1.0912,3.6352
137.84,2.2432,3.6216,0.0,1.8108,-1.4954666666666667,0.09460000000000002,3.527,0.9054,0.09460000000000002,1.0946,3.6216
139.22,2.2156000000000002,3.6078,0.0,1.8039,-1.4770666666666665,0.09805,3.50975,0.90195,0.09805,1.09805,3.6078
140.61,2.1877999999999997,3.5938999999999997,0.0,1.7969499999999998,-1.458533333333333,0.10152500000000003,3.492375,0.8984749999999999,0.10152500000000003,1.101525,3.5938999999999997
142.02,2.1595999999999997,3.5797999999999996,0.0,1.7898999999999998,-1.4397333333333333,0.10505000000000003,3.47475,0.8949499999999999,0.10505000000000003,1.10505,3.5797999999999996
143.44,2.1311999999999998,3.5656,0.0,1.7828,-1.4207999999999998,0.1086,3.457,0.8914,0.1086,1.1086,3.5656
144.87,2.1026,3.5513,0.0,1.77565,-1.4017333333333333,0.11217500000000001,3.4391249999999998,0.887825,0.11217500000000001,1.112175,3.5513
146.32,2.0736,3.5368,0.0,1.7684,-1.3824,0.11579999999999999,3.4210000000000003,0.8842,0.11579999999999999,1.1158,3.5368
147.78,2.0444,3.5221999999999998,0.0,1.7610999999999999,-1.3629333333333333,0.11945,3.40275,0.8805499999999999,0.11945,1.11945,3.5221999999999998
149.26,2.0148,3.5074,0.0,1.7537,-1.3432,0.12314999999999998,3.38425,0.87685,0.12314999999999998,1.1231499999999999,3.5074
